Name,Type,Tier,Apex,Starter,Biome:Desert,Biome:Forest,Biome:Grasslands,Biome:IceAge,Biome:Ocean,Biome:Rainforest,Biome:Savanna,Biome:Taiga,Biome:Wetlands,Hash
Jackalberry,Plant,2,1,,,,,,,,1,,,8c14a7c50ee89c74b914f1a56bcb800d
Monkey Orange,Plant,2,1,,,,,,,,1,,,58e25e4eef40d1e4ebf4fbf14c0d8955
Millet,Plant,3,,,,,,,,,1,,,7595c2a7c1c954b43b162410bfca8e27
Shea Tree,Plant,3,,,,,,,,,1,,,86577e1d91a35684fb0ad2f0899ac3da
Baobab,Plant,3,1,,,,,,,,1,,,210e11c9b2fa20c4891ebd465e42a52a
Lemongrass,Plant,3,1,,,,,,,,1,,,450548f2c415f814580b693b4a9c9fde
Sorghum,Plant,3,1,,,,,,,,1,,,341c5fb8995aeca478ae4697d6afad5d
African Wild Dog,Animal,1,,1,,,,,,,1,,,c80920b2f8b3de640a84c8833741053f
Cape Fox,Animal,1,,,,,,,,,1,,,089925b16b5f6944198dc555299259e7
Guineafowl,Animal,1,,1,,,,,,,1,,,f84256a8554950541baccc3cae8c336d
Impala,Animal,1,,,,,,,,,1,,,0a6c6053c8eacfe45a8779077dfdb58d
White-Backed Vulture,Animal,1,,,,,,,,,1,,,b45261b9f26f6694399b01adecb2c698
Spotted Hyena,Animal,1,1,,,,,,,,1,,,a563c500e27732047a6667e8d26ecc57
Zebra,Animal,1,1,,,,,,,,1,,,0a7c42603e19c224bb1ec8e4a25a0c6a
Leopard,Animal,2,,,,,,,,,1,,,ad93e351c828f5f48a32a9ccbea65bd6
Warthog,Animal,2,,,,,,,,,1,,,d469095f57b7a6a45bc4bbf26a4d3a2d
Wildebeast,Animal,2,,,,,,,,,1,,,26bdcf9a6aea8e44f910fbe6d4aea90d
Cape Buffalo,Animal,2,1,,,,,,,,1,,,9f71015bbc014bc43adcc04a55f5a8bb
Marabou,Animal,2,1,,,,,,,,1,,,37d2dc2c54110bd4b9bc8b8425974c67
White Rhino,Animal,2,1,,,,,,,,1,,,c9b6997ef47299348b84d1f3411348ac
Giraffe,Animal,3,,,,,,,,,1,,,2c332cd2f64ef754f94cda6ceb88e07d
Serval,Animal,3,,,,,,,,,1,,,30e7e7d7c98fc35449880779625c8ea6
Elephant,Animal,3,1,,,,,,,,1,,,d46a225c94246024f84e2c7db0f71911
Lion,Animal,3,1,,,,,,,,1,,,30ef56cafedbae746930397aa89c3c04
Secretary Bird,Animal,3,1,,,,,,,,1,,,85118c3cd98e7234e8aae56cd69a4871
Kunzite,Mineral,1,,,,,,,,,1,,,92ebb79ae2c335f48b8a72b4f35a99e1
Nickel,Mineral,1,,,,,1,,,,1,,,d1ad9aa7a78ddda478580c7a8a79bb8a
Soda Ash,Mineral,1,,,,,,,,,1,,,26b439963865c39418c861aaa35b01b6
Tanzanite,Mineral,2,,,,,,,,,1,,,ba32e7b264e99144b9356a822745b1a3
Chrome,Mineral,2,1,,,,,,,,1,,,22a338da3223034468721c6b6253a68c
Citrine,Mineral,2,1,,,,,,,,1,,,2376998f255e649428551be58b00efc3
Peacock Ore,Mineral,2,1,,,,,,,,1,,,5d4bb4150249811468cf5844537a3855
Zircon,Mineral,2,1,,,,,,,,1,,,30f6854bb139c5645a7e3529378b52a9
Pink Diamond,Mineral,3,,,,,,,,,1,,,0440da664fdc5e541b22c7552cedbd7a
Vermiculite,Mineral,3,,,,,,,,,1,,,b01e38fa5ef7e2541844eb8ad168e811
Palladium,Mineral,3,1,,,,,,,,1,,,c08203918bac0bb47b463a516bc23d3b
Sapphire,Mineral,3,1,,,,,,,,1,,,af9eeb833fd5b184c936213a92d8be42
Titan Graveyard,Mineral,3,1,,,,,,,,1,,,a47c84488fcfb4e4d8784eb5e9fed748
Fir,Plant,1,,1,,,,,,,,1,,bd0fafcf5cc25c2408573ffae07f36e3
Bluebead,Plant,1,,,,,,,,,,1,,8f5cd097c0de1864aa88b6a4ab34a305
Rowan,Plant,1,,,,,,,,,,1,,acf22236f069b2745911e42ad9672751
Potato,Plant,1,1,,,,,,,,,1,,23a3960f442d5d84abcaa3da0754e110
Cranberry,Plant,2,,,,,1,,,,,1,,d61076cbd88c9c44dad4ef6a29f2bf81
Poplar,Plant,2,,,,,,,,,,1,,394b73a901dc0c347910857c7143f433
Larix,Plant,2,1,,,,,,,,,1,,af562ab875b730c428a0dcfcb2c7cd26
Sugar Beet,Plant,2,1,,,,,,,,,1,,2c9a54a55c3e77e4a81ba38bdbe2bb81
White Birch,Plant,2,1,,,,,,,,,1,,f2a42927c22d1b34bb29c0c51e5007b8
Honeysuckle,Plant,3,,,,,,,,,,1,,74dc87e64a609094aadcf05a74a9b054
Labrador Tea,Plant,3,,,,,,,,,,1,,8c45d58c09f2ef14782571cca3f94e30
Sequoia,Plant,3,1,,,,,,,,,1,,33366d1f58272814d9c7d5e8f8876279
Strawberry,Plant,3,1,,,,,,,,,1,,e686feda642906a4cb423a8d6b3f389a
Crossbill,Animal,1,,,,,,,,,,1,,e57e1c029fa228947a89ca7163cc5ae8
Skunk,Animal,1,,,,,,,,,,1,,2af5e0cc59c804c4da64c530eef47c2d
Fox,Animal,1,1,,,,,,,,,1,,fb6c66ddb01d70e408bc1470750500bf
Ptarmigan,Animal,2,,,,,,,,,,1,,e7b0e817bd590b24abb417fd04355904
Red Cardinal,Animal,2,,,,,,,,,,1,,94a6dd25c6731594ebe97b8ee55ca42d
Mouflon,Animal,2,1,,,,,,,,,1,,2e97a48981378c540b767142ef8936b6
Nightjar,Animal,2,1,,,,,,,,,1,,8ac1542cc0dd4e94aa466972384b0fb0
Arctic Wolf,Animal,2,1,,,,,,,,,1,,221dfbbcee98c1a40b0048ffdfc16b3e
Goose,Animal,3,,,,,,,,,,1,,ac771d2df5e1f4e4e9abf1e406b3d387
Steller's Sea Eagler,Animal,3,,,,,,,,,,1,,babd3e262c3ed6e4f97755ef3271393a
Amur Leopard,Animal,3,1,,,,,,,,,1,,36ba57de70feb904d8716d87c05cf205
Brown Bear,Animal,3,1,,,,,,,,,1,,5269782cb3524b34a86026b0b78474c8
Moose,Animal,3,1,,,,,,,,,1,,b8875363e98cb164da858121b215bbe2
Sable,Animal,3,1,,,,,,,,,1,,0cab180f755c36e49a7e7098b3a48a86
Siberian Tiger,Animal,3,1,,,,,,,,,1,,b1f0a9aee583fb947980ce957d327ea8
Charoite,Mineral,1,,,,,,,,,,1,,e62ca5e253b9ed143a9dcfe56fa9e825
Peat,Mineral,1,,,,,,,,,,1,1,d7602b6a5b632f84f9826012faaa122d
Potash,Mineral,1,,,,,,,,,,1,,7f346099d8a79044ea6cbe74a0757814
Copper,Mineral,1,1,,,,,,,,,1,,833b8ea58fef8e741a86c954a53f628b
Lignite,Mineral,2,,,,,1,,,,,1,,39f873584c30dc045a984eda89052076
Nephrite,Mineral,2,,,,,,,,,,1,,5a9406a0371c889499cc1b0572810df1
Sulfur,Mineral,2,,,,,,,,,,1,1,82a1d310fc59f184293fcad5e15dce36
Granite,Mineral,2,1,,,,,,,,,1,,1ce921736bdcb9447a13ea18f9c0f85b
Gypsum,Mineral,2,1,,,,,,,,,1,,2a26883db3d1bb54998bd83323f8d479
Silver,Mineral,2,1,,,,,,,,,1,,8a167ee1fe4187f4ca614f6b311b29b9
Tourmaline,Mineral,2,1,,,,,,,,,1,,8082c4005ff18274f8ec189c7713f041
Talc,Mineral,3,,,,,,,,,,1,,3227e1380ea74f04f99a2743216eec79
Tungsten,Mineral,3,,,,,,,,,,1,,c4c2efe7294ed564bb28c090ba64eaad
Yellow Diamond,Mineral,3,,,,,,,,,,1,,3d61220d501b503429833c4949979ebc
Natural Gas,Mineral,3,1,,,,,,,,,1,,cb74a9b2a8e2dbd4883ad44abbad73b7
Platinum (Taiga),Mineral,3,1,,,,,,,,,1,,1072b961cd75e8e429ffa3cbf222a886
Titanite,Mineral,3,1,,,,,,,,,1,,920b32df26402544995d1818290dd600
Uranium,Mineral,3,1,,,,,,,,,1,,db1f929d88b982a4ca24aaee6ef46e22
Emu,Animal,2,,,1,,,,,,,,,135ec2af45a0e8746af25bd5678674b0
Smokey Quartz,Mineral,2,,,1,,,-1,,,,,,d85582e893b99cd44b62a48d7a1cdee4
Kookaburra,Animal,2,1,,1,,,,,,,,,b07d4a1b47b88a340bded035651a0ef8
Prickly Pear,Plant,2,1,,1,,,,,,,,,e04cb00390323a146aa982b2eefd0af2
King Brown Snake,Animal,3,,,1,,,,,,,,,e491bee30b6f277458f787e94c670f86
Eucalyptus,Plant,3,,,1,,,,,,,,,73d66c1a2af0ffb4eabf8105f0207d24
Coober Opal,Mineral,3,,,1,,-1,,,,,,,2656f40040ade964b922e55d695007be
Kangaroo,Animal,3,1,,1,,,,,,,,,f681a864f870c624fbaf07273f7cdc09
Great Cardon,Plant,3,1,,1,,,,,,,,,ded7de38cf6abc84796918870c25fb6d
Lithium,Mineral,3,1,,1,,,,,,,,,881d7c39ddd4b97458dfd09821da8a38
Cattail,Plant,1,,1,,,,,,,,,1,2fcf88e1077758045bcec538a9b1f6cc
Wild Rice,Plant,1,,1,,,,,,,,,1,0e347fcfb6cb771438c799c35e763afd
Bloodroot,Plant,1,,,,,,,,,,,1,11b620b779a129440857ae1a8f5d3afc
Elderberry,Plant,1,,,,,,,,,,,1,e3365add35a46ce41be2520c7985fd74
Guave,Plant,1,,,,,,,,,,,1,ca65dbe4f98c2474b936993d90abe73d
Rattan,Plant,1,,,,,,,,,,,1,38f13807f4adc1c45ab6023feec04055
Giant Reed,Plant,1,1,,,,,,,,,,1,06f8cf2e708579e44ac931951828ad46
Asparagus,Plant,2,,,,,,,,,,,1,50277d43ee9c2084b89765043b10ed3d
Jackfruit,Plant,2,,,,,,,,,,,1,73ccd2254baf96f49803f7f9491a24c6
Nipa Palm,Plant,2,,,,,,,,,,,1,dccbdcace48ba3c46ad5b5c2f801cd33
Starfruit,Plant,2,,,,,,,,,,,1,641e4f6363e862849be658b8ae6b9bda
Blue Flag Iris,Plant,2,1,,,,,,,,,,1,d39deab8a9ad1414687aaaee34d4d7d0
Bromelia,Plant,2,1,,,,,,,,,,1,a8e67390e5bade34cb0a88551181f6b1
Watermelon,Plant,2,1,,,,,,,,,,1,b7522b11bfddd254eb6464747e818ca6
Black Mangrove,Plant,3,,,,,,,-1,,,,1,776ce6aa6618f9741ae7a22635145728
Buttonbush,Plant,3,,,,,,,,,,,1,45d6b868afd2b9a40962bd4ad0588b3c
Cinnamon,Plant,3,,,,,,,,,,,1,240dd74f25ff6434ca4af9dd001cf7d1
Grapefruit,Plant,3,,,,,,,,,,,1,f300f30363d729b42a7512ef7a99928c
Pineapple,Plant,3,1,,,,,,,,,,1,651d52b898be77049811aafcede2ac7f
Rib Fruited Mangrove,Plant,3,1,,,,,,,,,,1,434cc3e9477d54b4c9bddabbb3dcda50
Victoria Waterlily,Plant,3,1,,,,,,,,,,1,a9cf54a50b2a8424f89dd0cbcf37ec47
Bluegill,Animal,1,,1,,,,,,,,,1,bce9749706bb07b4ba219f2e9225c2c5
Opossum,Animal,1,,1,,,,,,,,,1,3732129bdad1de54da8dddae34655bc3
Catfish,Animal,1,,,,,,,,,,,1,51c48fc01f344d244b0a83f204273ed3
Key Deer,Animal,1,,,,,,,,,,,1,bafbc925997b0934aa1c73f5ee812011
Sea Horse,Animal,1,,,,,,,-1,,,,1,83c25e50c52291f49aa77b0069330782
Snail Kite,Animal,1,,,,,,,,,,,1,c029bbf546f95674e8503c9b64ce1c8c
Terrapin,Animal,1,,,,,,,,,,,1,ff8eebb8672cb06409d8c0a79c8665c0
Flamingo,Animal,1,1,,,,,,,,,,1,d19584b2de1d9574d8c630726201757b
Cottonmouth,Animal,2,,,,,,,,,,,1,68b8a582c99098a49b4f8c5fb7ab362e
Heron,Animal,2,,,,,,,,,,,1,c35c6b4521b58bc4b9c2c00211a29e71
River Otter,Animal,2,,,,,,,,,,,1,ee9ecc45cfe81c742992dcb6eb5dacb7
Anaconda,Animal,2,1,,,,,,,,,,1,480f910d031d18a4bb11111e6c8b37c5
Anole,Animal,2,1,,,,,,,,,,1,9c0e86969770d41479e47eb76b511462
Raccoon,Animal,2,1,,,,,,,,,,1,576a4b133551ed54e8e6de1dfe54ce57
Spoonbill,Animal,2,1,,,,,,,,,,1,edb4f8ef3d1f2904891def62fa2c3b59
Balloonfish,Animal,3,,,,,,,-1,,,,1,ad0d2c2c82831144184a8badeb8cc5b8
Barracuda,Animal,3,,,,,,,-1,,,,1,0d494a90c287a0643b3ab8994853a960
Hoatzin,Animal,3,,,,,,,,,,,1,0162f93caee7367438a59b71fc3cef47
Kingsnake,Animal,3,,,,,,,,,,,1,9b8d6b2a35b3abe40be8afce9a90ad96
Alligator,Animal,3,1,,,,,,,,,,1,0cca03048fd252847912813e1fab9745
Pelican,Animal,3,1,,,,,,,,,,1,69671bcabe240f34a9a905744913fef3
Piranha,Animal,3,1,,,,,,,,,,1,06aaa8ebf1f3999429b4b089eef11512
Snapping Turtle,Animal,3,1,,,,,,,,,,1,7701f08809a270043b25018d3b76c598
Dolomite,Mineral,1,,1,,,,,,,,,1,7c4f7e7922f551949ac52706108b1bf8
Bog Iron,Mineral,1,,,,,,,,,,,1,162f9ba531af679458f36b9326bbfc3d
Petrified Wood,Mineral,1,,,,,,,,,,,1,ef0149fec1be6574c8c0476a611e2585
Pyrite,Mineral,1,,,,,,,,,,,1,4e824491d80872645aa7b044b198fd1b
Illite Clay,Mineral,1,1,,,,,,,,,,1,bb6ffb5c08f01e441b744918533d9da9
Struvite,Mineral,2,,,,,,,,,,,1,c6ffcda72157b574698c2d0d47d7a9ad
Calcite,Mineral,2,1,,,,,,,,,,1,28d4e27ceb9187b48a2da7343c0670ab
Trona,Mineral,2,1,,,,,,,,,,1,3e5dca3b83b41a544aa0f7d70c630bc0
Vivianite,Mineral,2,1,,,,,,,,,,1,fc90191fbfc36264fa8d49773af8ea23
Drowned Aquamarine,Mineral,3,,,,,,,,,,,1,88dc902df2fc1504fb282b4ad47ae150
Alexandrite,Mineral,3,1,,,,,,,,,,1,4f0cd9c8f760a5c4da73cb46d0b708a2
Alunite,Mineral,3,1,,,,,,,,,,1,8575f91427d91d84a8da8a09fa3b8ce7
Celestine,Mineral,3,1,,,,,,,,,,1,09f56f5708c5b8649bb20cfffaf3811c
Fuller's Earth,Mineral,3,1,,,,,,,,,,1,0b5d7c0d8c481e4498f2089c3b159e71
Pygmy Falcon,Animal,2,,,,,,,,,1,,,21650085ac443954988261b24d23735a
Hoopoe,Animal,3,,,,,1,,,,1,,,7f92c90aee5a2dc4da8ec5a42a8fd887
Shepherd Tree,Plant,3,,,,,,,,,1,,,19efb3ec61a9c664c8769b945b2980ae
Termite Mound,Mineral,3,,,,,,,,,1,,,1661abbecbf46b24da22502e37d5ff7c
Hamadryas Baboon,Animal,3,1,,,,,,,,1,,,2994f2ca23646eb47a971f31b16dedd4
Meerkat,Animal,3,1,,,,,,,,1,,,bbbc21d4cbac7a04a9739b56c132d863
Pika,Animal,1,,,,,,1,,,,,,29da18898c120604599573100061e003
Svalbard Reindeer,Animal,1,,,,,,1,,,,,,cd7275fc117723a4ca61ce5ccbf4c21e
Wintergreen,Plant,1,,,,,,,,,,1,,e4ee4498f59c133449e5a74dd2b5958f
Kola Nut,Plant,2,,,,,,,,1,,,,f2b72c4e73777344c9d06baca3e2d171
Ebony,Plant,3,,,,,,,,1,,,,b045c57ed54f515489794e247e378f53
Mandril,Animal,3,1,,,,,,,1,,,,9e48f5fce4c0bd54e8dfa1d44798a879
Starflower,Plant,3,,,,,,,,,,1,,65fefd169b297dc429adacb83f6ccdf4
Snow Monkey,Animal,3,1,,,,,,,,,1,,20479ea7693d875469384033cdf95eca
Thorny Devil,Animal,1,1,,1,,,,,,,,,57666bac945222d43b03cd77edb5538a
Peach Tree,Plant,1,1,,,1,,,,,,,,60f60510f34b8bc4bbf1e96f4d7d176d
Beringian Steppe Grass,Plant,1,1,,,,,1,,,,,,54ec170d894d46f40a11dc7ad89b5505
Ribbon Eel,Animal,1,1,,,,,,1,,,,,8e2b8dab130f9fe479cc0d87ec5dcad1
Fire Opal,Mineral,1,1,,,,,,,1,,,,a965eba7e46173d45b465164cb7c749b
Moonstone,Mineral,1,1,,,,,,,,1,,,fbc138f78f6e69846b84f2e8d9ec3ed9
Garnet,Mineral,1,1,,,,,,,,,1,,7ccfda607cda9e24ca7c66f794abc061
Archerfish,Animal,1,1,,,,,,,,,,1,9b144dd29456baf4c8d1bd24d7c8c583
Clover,Plant,1,,1,,,1,,,,,,,849c4aca1facaf744af69b203b5be667
Common Oat,Plant,1,,1,,,1,,,,,,,28b9f07b9d09d114b9c922e9fb5086f5
Horned Dandelion,Plant,1,,,,,1,,,,,,,a697f5c47d0cde44e959e859d8b2f98f
Nettle,Plant,1,,,,,1,,,,,,,9c802cf829a033342a5d245017065dcb
Wild Cabbage,Plant,1,,,,,1,,,,,,,088db3bb35d875d40ade6ec8a41294c9
Big Bluestem,Plant,1,1,,,,1,,,,,,,a71824aa36655924091d4a4d5c9ac567
Maize,Plant,1,1,,,,1,,,,,,,552307026453da14f8bc3fe972645b11
Lentil,Plant,2,,,,,1,,,,,,,2a7e41b050828cb49a880ed5780c6b31
Switch Grass,Plant,2,,,,,1,,,,,,,c0d4f7c419e0b454f89fddbc9ce49778
St. John's Wort,Plant,2,,,,,1,,,,,,,c8fb0f3fe501b604fb2b11479bb8b4ae
Flax,Plant,2,1,,,,1,,,,,,,1508d2850b4f85c468a2735c2b183d48
Rapeseed,Plant,2,1,,,,1,,,,,,,2d5b8ccd83a9fb74bad18f4d392ec018
Sweet Potato,Plant,2,1,,,,1,,,,,,,3a57d505af6a3ca45af96d391d2f8806
Liquorice,Plant,3,,,,,1,,,,,,,0b81f1e4a4e844e48a3c84ad84a270ca
Quebracho,Plant,3,,,,,1,,,,,,,f1e444362c8ea8b42843b2ecebe324b2
Rye,Plant,3,,,,,1,,,,,,,bb7f2ebf6c9339f4ea2a9a62b2102cb6
Wormwood,Plant,3,,,,,1,,,,,,,88329ac00ec73024686aec71ae73598f
Lavender,Plant,3,1,,,,1,,,,,,,e22cecba5e84e6c4e82dcb40a90238ac
Oak,Plant,3,1,,,,1,,,,,,,ede1e79bf3510e84c812c9b748412185
Peanut,Plant,3,1,,,,1,,,,,,,6234dc62cca019747b5d2d31d0abd40b
Wheat,Plant,3,1,,,,1,,,,,,,2e707768419afef49a884ad2fdbdf393
Ferret,Animal,1,,1,,,1,,,,,,,2882d2181220c054eaecd82937a857af
Prairie Dog,Animal,1,,1,,,1,,,,,,,43fd18c8488fcee46bd721fff33c8053
Bustard,Animal,1,,,,,1,,,,,,,c5758484d2f46dd4894a7841b7ddbafb
Geoffroy's Cat,Animal,1,,,,,1,,,,,,,7f5933c00772b104896e0e68bf40e265
Pronghorn,Animal,1,,,,,1,,,,,,,f1856c45b32cd8e439d7591624af3267
Skink,Animal,1,,,,,1,,,,,,,155cca9f786f8cc4abd014814a6987a0
Swift Fox,Animal,1,,,,,1,,,,,,,5a911de92e136d74b8182730b4284179
Prairie Chicken,Animal,1,1,,,,1,,,,,,,c5da9e1193afe3c41957fcb85998566c
Bullsnake,Animal,2,,,,,1,,,,,,,0d33129f9f259394785eb7f7fcaf68a7
Red-Tailed Hawk,Animal,2,,,,,1,,,,,,,ed35d73f8e56f3f46b47ea851765bea9
Rhea,Animal,2,,,,,1,,,,,,,60cedf3ac8928374db212186f005ee0b
Aurochs,Animal,2,1,,,,1,,,,,,,4a478c543a8547e4792d56fe0610a89b
Pink Fairy Armadillo,Animal,2,1,,,,1,,,,,,,2421296514243b34d9562b8de4ec77cf
Maned Wolf,Animal,2,1,,,,1,,,,,,,baeaa2ea549413d4ea45d706ca27d343
Onager,Animal,2,1,,,,1,,,,,,,3aa91db8e34b97344bc6c39baf305498
Ant Eater,Animal,3,,,,,1,,,,,,,6d172ee5ef49338418ca585d7dbee67f
Bactrian Camel,Animal,3,,,,,1,,,,,,,6d3150d877aeda84f82dd00e8553083a
Coyote,Animal,3,,,-1,,1,,,,,,,d4e2e656675d34b43a20f8d89f3b7fce
Bison,Animal,3,1,,,,1,,,,,,,b5f43d9c1fe8f49479862c1c5969f7d0
Blue Tegu,Animal,3,1,,,,1,,,,,,,b9f09e931ca0e3040b6dd8802bfc64fe
Imperial Eagle,Animal,3,1,,,,1,,,,,,,44594ae9176a3314da9019e933dbfbcf
Wild Horse,Animal,3,1,,,,1,,,,,,,edebbce80789afb40951babd750095a2
Meerschaum,Mineral,1,,1,,,1,,,,,,,a3fc96f3aeba9774a816b09635812b5f
Rock Crystal,Mineral,1,,1,,,1,,,,,,,10997189cfb58f747a5230ed731f0e2e
Mima Mound,Mineral,1,,,,,1,,,,,,,a935331d2a8576947bd0bff23d821532
Playa,Mineral,1,,,,,1,,,,,,,608bfb8eae41c4a419238d81fd0fdd30
Poudretteite,Mineral,1,,,,,1,,,,,,,041a48cd0d21a1842b32ff6d09f7a8d9
Scapolite,Mineral,1,,,,,1,,,,,,,6e72482cb7c64304b817a250f9ccede3
Natron,Mineral,1,1,,,,1,,,,,,,d148aa762e6bbe148b71af45d0b8e9ef
Musgravite,Mineral,2,,,,,1,,,,,,,64686c5c3767bb5459ba96a5af55c6ac
Borax,Mineral,2,1,,,,1,,,,,,,38d9f8a4f8cfe204c974639f9e567594
Halite,Mineral,2,1,,,,1,,,,,,,e59cc1afa06617340b370700022feacc
Marble,Mineral,2,1,,,,1,,,,,,,14baa083c6b40f04688f84057d8cd0f4
Selenite,Mineral,3,,,,-1,1,,,,,,,8e83ce8c97530b3448fe93d068533ac2
Sinhalite,Mineral,3,,,,,1,,,,,,,bef70f3744b56554cb9b00474ff9a0fa
Azurite,Mineral,3,1,,,,1,,,,,,,c293d40f6ee9af24aa33d71ec72645fd
Electrum,Mineral,3,1,,,,1,,,,,,,78cc6d2156e68f041b62668d4a936e62
Lightning Strike,Mineral,3,1,,,,1,,,,,,,5bf513d47a8c5694fbe76a950cb2f801
Frontier Farm,Plant,1,,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5c2f906f87518ca49be5382c78badbdc
